"V1","V2"
1003,140
1004,153
985,161
1036,72
1055,79
1057,93
1038,99
1022,133
1036,146
1024,159
1072,73
1087,79
1091,92
1077,99
1054,126
1068,125
1079,145
1073,165
1059,165
1050,145
1103,72
1120,78
1119,91
1105,98
1139,71
1158,77
1157,90
1137,97
1099,125
1110,118
1123,124
1135,136
1134,150
1120,163
1105,164
1096,144
1178,70
1196,75
1196,89
1176,96
1155,129
1167,142
1160,161
1146,162
1215,68
1234,74
1234,87
1215,94
1188,122
1201,121
1214,134
1213,147
1200,160
1186,161
1181,141
1247,60
1261,60
1269,80
1262,101
1247,100
1227,120
1241,120
1248,141
1240,160
1226,160
1294,60
1314,59
1325,81
1317,103
1297,102
1287,81
1271,122
1289,123
1299,145
1291,165
1272,163
1263,142
1354,59
1374,59
1387,82
1378,105
1358,104
1346,81
1320,146
1328,125
1349,126
1361,149
1352,170
1332,168
1416,60
1437,60
1450,84
1442,106
1420,106
1408,82
1382,150
1391,128
1412,128
1424,152
1416,174
1394,173
1479,62
1500,62
1513,84
1504,107
1484,107
1471,84
1454,129
1475,129
1488,152
1480,175
1458,175
1446,152
1541,63
1563,61
1579,78
1580,97
1566,108
1546,105
1533,84
1517,128
1538,127
1550,147
1542,170
1522,173
1509,151
1639,66
1636,80
1619,85
1603,72
1607,56
1626,55
1606,136
1598,125
1602,109
1617,102
1633,112
1633,131
1621,140
1597,156
1581,162
1570,144
1578,127
1664,72
1658,64
1658,112
1647,104
1648,89
1660,87
640,54
751,46
792,43
778,53
809,42
882,40
868,47
850,39
828,49
910,43
896,49
943,46
926,52
978,49
961,54
1015,52
997,57
1052,53
1034,59
1087,53
1070,59
1122,52
1104,59
1160,51
1140,58
1197,49
1178,57
1234,48
1216,55
1650,61
1665,80
1026,173
966,183
985,175
926,186
946,177
885,191
905,180
843,199
863,186
805,209
823,196
775,216
788,204
747,220
761,209
715,223
731,213
671,226
694,216
618,225
645,217
616,136
643,145
717,140
694,142
789,123
771,134
753,136
834,116
814,128
873,112
891,112
907,119
926,111
963,112
945,119
1001,112
983,119
1040,113
1021,119
1080,112
1137,110
1175,109
1156,116
1214,108
309,119
300,130
298,137
298,144
302,157
353,92
340,102
330,110
320,113
403,72
389,82
377,90
366,91
454,57
440,67
428,75
417,74
506,43
492,54
481,62
469,60
559,32
544,43
533,50
521,47
613,23
598,34
586,41
574,37
666,18
648,25
631,27
720,14
706,24
694,31
682,26
773,12
756,19
738,19
798,11
790,14
867,10
857,14
843,14
826,9
896,14
887,18
877,16
926,17
916,21
906,20
959,21
947,24
936,23
995,26
983,29
971,28
1031,28
1020,32
1007,31
1068,29
1057,33
1044,33
1105,29
1092,33
1080,33
1142,28
1130,32
1117,33
1179,26
1167,31
1154,32
1216,24
1204,29
1192,30
1253,23
1240,27
1228,28
1301,19
1285,28
1274,33
1264,29
1361,16
1344,24
1331,29
1318,25
1423,17
1406,24
1393,28
1378,23
1485,20
1468,26
1455,31
1440,25
1547,23
1531,29
1518,33
1503,28
1607,29
1592,31
1579,34
1565,30
1656,46
1646,43
1637,41
1626,39
1618,35
1680,81
1678,71
1676,67
1673,61
1668,55
1672,126
1675,115
1675,109
1676,103
1678,97
1680,92
1640,167
1648,152
1655,141
1663,135
1594,196
1607,184
1617,174
1627,171
1537,213
1553,203
1566,195
1578,196
1473,218
1491,210
1504,204
1519,208
1409,216
1426,210
1440,205
1455,211
1345,211
1362,205
1376,202
1390,208
1283,202
1300,198
1313,195
1327,202
1232,197
1243,190
1254,187
1266,193
1192,198
1203,191
1212,187
1221,191
1151,199
1162,192
1172,187
1181,191
1111,200
1122,194
1132,189
1140,193
1070,202
1080,195
1090,190
1099,194
1029,204
1039,197
1048,192
1057,196
987,207
998,200
1007,194
1016,198
946,211
960,205
973,204
906,215
919,208
933,207
866,224
878,215
892,212
827,237
839,226
852,222
794,246
803,238
814,235
766,251
775,244
784,242
737,255
746,248
756,246
697,258
713,251
726,250
646,259
663,253
680,253
593,256
611,252
628,253
540,248
555,242
566,238
578,245
487,240
502,235
513,232
525,238
434,230
448,227
460,224
472,230
382,215
396,215
407,214
419,221
336,193
348,197
358,199
369,206
310,166
317,171
322,175
326,180
328,185
305,138
308,132
313,131
318,135
319,141
315,146
308,144
354,121
362,124
363,133
355,138
347,135
346,127
328,169
329,162
335,158
341,161
342,168
335,172
395,118
404,111
412,115
413,127
405,134
396,129
373,175
373,165
381,161
389,167
390,177
382,181
447,110
456,102
465,108
465,122
457,129
448,124
424,181
423,168
432,162
441,169
441,182
432,188
500,103
508,94
517,100
518,116
509,125
500,118
476,170
484,163
493,170
494,185
485,191
476,184
552,97
561,87
570,95
570,112
562,121
553,113
528,171
537,163
546,171
546,187
538,195
529,186
606,93
614,83
626,88
633,100
624,110
609,107
582,171
590,163
602,169
609,181
603,192
591,198
582,189
657,111
650,99
656,86
668,79
678,88
678,106
669,116
626,181
635,172
652,172
661,180
653,190
635,190
718,85
727,75
738,83
741,101
732,111
720,103
720,167
730,166
735,175
731,185
720,186
715,177
700,188
687,188
679,180
687,170
701,169
706,178
811,16
801,17
777,83
791,78
800,86
793,96
779,94
773,161
783,159
791,167
787,176
777,178
769,174
768,168
763,181
754,183
748,174
750,164
759,163
816,84
823,74
838,73
846,81
839,90
825,92
804,164
810,155
824,152
832,159
826,169
813,172
865,88
859,80
865,71
875,71
879,80
874,88
847,156
850,144
860,137
871,142
877,152
869,161
854,163
890,73
899,73
904,81
898,89
889,88
886,80
915,81
